query,text_results_count,image_results_count,retrieval_time
What were the financial highlights from the last fiscal year?,5,0,0.22590255737304688
Explain the company's sustainability initiatives.,5,0,0.1345052719116211
Who are the members of the board of directors?,5,0,0.14458131790161133
What are the key risk factors mentioned in the report?,5,0,0.13909029960632324
How has the company performed in terms of revenue growth?,5,0,0.13871026039123535
What is the company's approach to digital transformation?,5,0,0.1339254379272461
What are the strategic priorities for the coming year?,5,0,0.134307861328125
Describe the company's corporate governance structure.,5,0,0.14444875717163086
What investments has the company made in R&D?,5,0,0.14519548416137695
How does the company address environmental concerns?,5,0,0.23653388023376465
